molecule_name,atom_count_total,final_energy_eV,homo_lumo_gap_eV,wall_time_s,relaxation_steps,max_force_eV_per_A,failure_category,final_energy_eV_pubchem,homo_lumo_gap_eV_pubchem,wall_time_s_pubchem,relaxation_steps_pubchem,max_force_eV_per_A_pubchem,final_energy_eV_diff,final_energy_eV_abs_diff,homo_lumo_gap_eV_diff,homo_lumo_gap_eV_abs_diff,wall_time_s_diff,wall_time_s_abs_diff,relaxation_steps_diff,relaxation_steps_abs_diff,max_force_eV_per_A_diff,max_force_eV_per_A_abs_diff,source_model
phenol,13,-83.050868,4.269586,3629.815,18,0.046671,NONE,-83.047851,4.2699,2642.709,15,0.049534,-0.0030169999999998254,0.0030169999999998254,-0.00031399999999948136,0.00031399999999948136,987.1060000000002,987.1060000000002,3,3,-0.0028630000000000044,0.0028630000000000044,gemini
propene,9,-48.578697,5.474302,2931.234,26,0.045971,NONE,-48.582149,5.470014,1120.193,10,0.041208,0.003452000000002897,0.003452000000002897,0.0042879999999998475,0.0042879999999998475,1811.041,1811.041,16,16,0.004762999999999996,0.004762999999999996,gemini
propionic_acid,11,-63.870173,5.299542,3159.061,17,0.044965,NONE,-64.074747,5.358597,2498.394,16,0.045193,0.20457400000000092,0.20457400000000092,-0.05905499999999986,0.05905499999999986,660.6670000000004,660.6670000000004,1,1,-0.00022799999999999904,0.00022799999999999904,gemini
propane,11,-56.90326,7.21575,5966.338,42,0.032838,NONE,-56.904796,7.217379,1165.817,9,0.041879,0.0015359999999944307,0.0015359999999944307,-0.0016290000000003246,0.0016290000000003246,4800.521,4800.521,33,33,-0.009041,0.009041,gemini
piperidine,17,-94.06362,4.26137,7596.001,33,0.045649,NONE,-94.090574,4.39729,3294.131,16,0.04613,0.026954000000003475,0.026954000000003475,-0.1359199999999996,0.1359199999999996,4301.870000000001,4301.870000000001,17,17,-0.0004809999999999953,0.0004809999999999953,gemini
sulfur_dioxide,3,-17.681385,3.50156,614.221,7,0.042129,NONE,-17.690097,3.50809,520.107,6,0.047686,0.008712000000002718,0.008712000000002718,-0.006530000000000147,0.006530000000000147,94.11400000000003,94.11400000000003,1,1,-0.0055569999999999994,0.0055569999999999994,gemini
pyridine,11,-71.299934,4.036273,4530.897,28,0.038421,NONE,-71.294542,4.042145,3000.886,19,0.04903,-0.005391999999986297,0.005391999999986297,-0.005871999999999211,0.005871999999999211,1530.011,1530.011,9,9,-0.010609,0.010609,gemini
thiophene,9,-54.066228,4.479453,3118.992,21,0.040186,NONE,-54.070577,4.479394,1651.166,12,0.031376,0.004348999999997716,0.004348999999997716,5.9000000000253294e-05,5.9000000000253294e-05,1467.8260000000002,1467.8260000000002,9,9,0.008809999999999998,0.008809999999999998,gemini
tetrahydrofuran,13,-72.293046,5.202616,3734.587,21,0.035812,NONE,-72.289528,4.91263,1923.833,10,0.035834,-0.003517999999999688,0.003517999999999688,0.28998599999999985,0.28998599999999985,1810.754,1810.754,11,11,-2.2000000000001185e-05,2.2000000000001185e-05,gemini
styrene,16,-100.777916,3.620721,7001.277,32,0.032672,NONE,-100.767559,3.776135,4856.79,24,0.049692,-0.010356999999999061,0.010356999999999061,-0.15541399999999994,0.15541399999999994,2144.487,2144.487,8,8,-0.01702,0.01702,gemini
urea,8,-48.479057,4.889117,1571.787,11,0.048619,NONE,-48.502768,4.892224,3083.509,28,0.036074,0.02371100000000581,0.02371100000000581,-0.003106999999999971,0.003106999999999971,-1511.722,1511.722,-17,17,0.012545,0.012545,gemini
water,3,-14.620623,6.263208,313.989,5,0.045482,NONE,-14.621105,6.262384,308.046,5,0.039662,0.0004819999999998714,0.0004819999999998714,0.0008239999999997139,0.0008239999999997139,5.942999999999984,5.942999999999984,0,0,0.005819999999999999,0.005819999999999999,gemini
toluene,15,-92.514766,4.783618,3398.077,16,0.049415,NONE,-92.513964,4.820273,2746.088,15,0.037802,-0.000801999999993086,0.000801999999993086,-0.03665500000000055,0.03665500000000055,651.989,651.989,1,1,0.011612999999999998,0.011612999999999998,gemini
pentane,17,-88.241989,5.930423,22244.007,108,0.043588,NONE,-89.902519,7.014953,2589.445,15,0.042426,1.6605299999999943,1.6605299999999943,-1.08453,1.08453,19654.562,19654.562,93,93,0.0011620000000000033,0.0011620000000000033,gemini
valeric_acid,17,-96.997893,5.258541,4772.606,22,0.044246,NONE,-97.056576,5.362997,2630.967,13,0.049973,0.05868300000000204,0.05868300000000204,-0.10445599999999988,0.10445599999999988,2141.6389999999997,2141.6389999999997,9,9,-0.005726999999999996,0.005726999999999996,gemini
undecane,35,-188.856805,6.461065,15601.444,37,0.038305,NONE,-188.830525,6.425744,4774.689,20,0.046798,-0.02628000000001407,0.02628000000001407,0.035320999999999714,0.035320999999999714,10826.755,10826.755,17,17,-0.008493,0.008493,gemini
triethylamine,22,-117.650834,4.153666,19048.347,71,0.049545,NONE,-117.737718,4.348497,4012.98,19,0.045877,0.08688399999999774,0.08688399999999774,-0.19483099999999975,0.19483099999999975,15035.367000000002,15035.367000000002,52,52,0.0036679999999999977,0.0036679999999999977,gemini
